time_received,Number of Vehicles
14793109878,7
14793109879,6
14793109880,6
14793109881,7
14793109882,4
14793109883,5
14793109884,4
14793109885,4
14793109886,5
14793109887,7
14793109888,5
14793109889,5
14793109890,8
14793109891,7
14793109892,7
14793109893,8
14793109894,9
14793109895,6
14793109896,6
14793109897,6
14793109898,5
14793109899,6
14793109900,5
14793109901,7
14793109902,6
14793109903,5
14793109904,4
14793109905,6
14793109906,6
14793109907,8
14793109908,4
14793109909,7
14793109910,6
14793109911,6
14793109912,6
14793109913,5
14793109914,7
14793109915,6
14793109916,5
14793109917,6
14793109918,5
14793109919,7
14793109920,4
14793109921,5
14793109922,6
14793109923,6
14793109924,5
14793109925,5
14793109926,7
14793109927,5
14793109928,7
14793109929,6
14793109930,8
14793109931,6
14793109932,6
14793109933,5
14793109934,5
14793109935,6
14793109936,5
14793109937,5
14793109938,4
14793109939,5
14793109940,5
14793109941,6
14793109942,7
14793109943,4
14793109944,3
14793109945,3
14793109946,4
14793109947,6
14793109948,5
14793109949,6
14793109950,4
14793109951,5
14793109952,3
14793109953,4
14793109954,2
14793109955,3
14793109956,3
14793109957,2
14793109958,2
14793109959,5
14793109960,3
14793109961,3
14793109962,3
14793109963,4
14793109964,6
14793109965,4
14793109966,7
14793109967,7
14793109968,4
14793109969,4
14793109970,3
14793109971,4
14793109972,4
14793109973,4
14793109974,4
14793109975,6
14793109976,4
14793109977,1
14793109978,3
14793109979,1
14793109980,4
14793109981,3
14793109982,3
14793109983,6
14793109984,5
14793109985,4
14793109986,4
14793109987,3
14793109988,3
14793109989,2
14793109990,4
14793109991,3
14793109992,3
14793109993,3
14793109994,4
14793109995,1
14793109996,2
14793109997,3
14793109998,3
14793109999,3
14793110000,1
14793110001,2
14793110002,3
14793110003,4
14793110004,1
14793110005,3
14793110006,1
14793110007,3
14793110008,2
14793110009,2
14793110010,3
14793110011,2
14793110012,1
14793110013,3
14793110014,1
14793110015,1
14793110016,2
14793110017,1
14793110018,2
14793110019,1
14793110020,1
14793110021,1
14793110022,2
14793110023,1
14793110024,1
14793110025,1
14793110026,1
14793110027,2
14793110028,2
14793110029,2
14793110030,1
14793110031,3
14793110033,3
14793110034,2
14793110035,3
14793110036,3
14793110037,3
14793110038,4
14793110039,4
14793110040,5
14793110041,5
14793110042,4
14793110043,2
14793110044,3
14793110045,2
14793110046,2
14793110047,3
14793110048,5
14793110049,4
14793110050,2
14793110051,4
14793110052,5
14793110053,4
14793110054,3
14793110055,4
14793110056,4
14793110057,2
14793110058,3
14793110059,6
14793110060,2
14793110061,4
14793110062,4
14793110063,6
14793110064,5
14793110065,4
14793110066,3
14793110067,3
14793110068,3
14793110069,3
14793110070,4
14793110071,4
14793110072,4
14793110073,5
14793110074,4
14793110075,4
14793110076,3
14793110077,3
14793110078,3
14793110079,2
14793110080,2
14793110081,4
14793110082,2
14793110083,2
14793110084,3
14793110085,3
14793110086,3
14793110087,3
14793110088,3
14793110089,6
14793110090,4
14793110091,4
14793110092,3
14793110093,4
14793110094,4
14793110095,5
14793110096,6
14793110097,5
14793110098,6
14793110099,1
14793110100,7
14793110101,4
14793110102,4
14793110103,5
14793110104,4
14793110105,5
14793110106,4
14793110107,3
14793110108,4
14793110109,6
14793110110,5
14793110111,5
14793110112,5
14793110113,4
14793110114,3
14793110115,4
14793110116,3
14793110117,3
14793110118,3
14793110119,5
14793110120,4
14793110121,3
14793110122,3
14793110123,5
14793110124,3
14793110125,4
14793110126,6
14793110127,3
14793110128,5
14793110129,3
14793110130,5
14793110131,6
14793110132,5
14793110133,7
14793110134,6
14793110135,7
14793110136,5
14793110137,6
14793110138,5
14793110139,5
14793110140,2
14793110141,7
14793110142,4
14793110143,5
14793110144,5
14793110145,5
14793110146,5
14793110147,6
14793110148,6
14793110149,6
14793110150,7
14793110151,7
14793110152,8
14793110153,7
14793110154,8
14793110155,8
14793110156,7
14793110157,6
14793110158,7
14793110159,3
14793110160,6
14793110161,6
14793110162,5
14793110163,5
14793110164,4
14793110165,4
14793110166,6
14793110167,6
14793110168,6
14793110169,6
14793110170,5
14793110171,5
14793110172,6
14793110173,7
14793110174,7
14793110175,5
14793110176,5
14793110177,5
14793110178,5
14793110179,5
14793110180,6
14793110181,5
14793110182,6
14793110183,5
14793110184,5
14793110185,7
14793110186,5
14793110187,5
14793110188,5
14793110189,5
14793110190,5
14793110191,5
14793110192,6
14793110193,7
14793110194,6
14793110195,8
14793110196,5
14793110197,6
14793110198,6
14793110199,5
14793110200,6
14793110201,6
14793110202,5
14793110203,5
14793110204,7
14793110205,5
14793110206,6
14793110207,6
14793110208,5
14793110209,5
14793110210,7
14793110211,5
14793110212,5
14793110213,6
14793110214,5
14793110215,4
14793110216,4
14793110217,6
14793110218,6
14793110219,6
14793110220,5
14793110221,3
14793110222,3
14793110223,3
14793110224,6
14793110225,7
14793110226,6
14793110227,5
14793110228,4
14793110229,5
14793110230,6
14793110231,4
14793110232,6
14793110233,5
14793110234,5
14793110235,5
14793110236,5
14793110237,6
14793110238,4
14793110239,5
14793110240,5
14793110241,5
14793110242,5
14793110243,6
14793110244,6
14793110245,4
14793110246,5
14793110247,5
14793110248,5
14793110249,5
14793110250,4
14793110251,4
14793110252,7
14793110253,4
14793110254,5
14793110255,6
14793110256,5
14793110257,4
14793110258,4
14793110259,5
14793110260,6
14793110261,4
14793110262,4
14793110263,4
14793110264,4
14793110265,3
14793110266,5
14793110267,6
14793110268,6
14793110269,6
14793110270,4
14793110271,7
14793110272,6
14793110273,4
14793110274,5
14793110275,3
14793110276,6
14793110277,5
14793110278,5
14793110279,6
14793110280,4
14793110281,2
14793110282,6
14793110283,5
14793110284,5
14793110285,5
14793110286,5
14793110287,3
14793110288,6
14793110289,5
14793110290,4
14793110291,6
14793110292,5
14793110293,4
14793110294,5
14793110295,5
14793110296,4
14793110297,4
14793110298,3
14793110299,4
14793110300,5
14793110301,3
14793110302,4
14793110303,5
14793110304,3
14793110305,4
14793110306,4
14793110307,3
14793110308,3
14793110309,5
14793110310,4
14793110311,4
14793110312,4
14793110313,4
14793110314,4
14793110315,5
14793110316,2
14793110317,6
14793110318,3
14793110319,5
14793110320,4
14793110321,7
14793110322,3
14793110323,4
14793110324,5
14793110325,3
14793110326,4
14793110327,5
14793110328,6
14793110329,6
14793110330,6
14793110331,4
14793110332,5
14793110333,5
14793110334,6
14793110335,4
14793110336,5
14793110337,6
14793110338,6
14793110339,6
14793110340,6
14793110341,6
14793110342,4
14793110343,5
14793110344,5
14793110345,4
14793110346,4
14793110347,5
14793110348,3
14793110349,4
14793110350,5
14793110351,4
14793110352,4
14793110353,3
14793110354,4
14793110355,3
14793110356,4
14793110357,2
14793110358,4
14793110359,4
14793110360,2
14793110361,4
14793110362,2
14793110363,4
14793110364,4
14793110365,3
14793110366,4
14793110367,4
14793110368,4
14793110369,3
14793110370,2
14793110371,4
14793110372,4
14793110373,3
14793110374,3
14793110375,4
14793110376,3
14793110377,4
14793110378,4
14793110379,4
14793110380,4
14793110381,5
14793110382,4
14793110383,3
14793110384,3
14793110385,3
14793110386,2
14793110387,4
14793110388,4
14793110389,3
14793110390,5
14793110391,3
14793110392,4
14793110393,4
14793110394,4
14793110395,3
14793110396,4
14793110397,3
14793110398,3
14793110399,4
14793110400,3
14793110401,3
14793110402,3
14793110403,3
14793110404,4
14793110405,6
14793110406,4
14793110407,3
14793110408,3
14793110409,3
14793110410,3
14793110411,3
14793110412,4
14793110413,4
14793110414,4
14793110415,4
14793110416,4
14793110417,3
14793110418,3
14793110419,4
14793110420,3
14793110421,5
14793110422,4
14793110423,4
14793110424,5
14793110425,4
14793110426,5
14793110427,4
14793110428,3
14793110429,5
14793110430,5
14793110431,5
14793110432,2
14793110433,5
14793110434,5
14793110435,3
14793110436,4
14793110437,3
14793110438,4
14793110439,4
14793110440,5
14793110441,3
14793110442,4
14793110443,4
14793110444,6
14793110445,4
14793110446,6
14793110447,5
14793110448,5
14793110449,5
14793110450,4
14793110451,5
14793110452,5
14793110453,5
14793110454,5
14793110455,5
14793110456,5
14793110457,4
14793110458,6
14793110459,6
14793110460,6
14793110461,4
14793110462,4
14793110463,4
14793110464,6
14793110465,6
14793110466,5
14793110467,5
14793110468,4
14793110469,6
14793110470,5
14793110471,5
14793110472,6
14793110473,5
14793110474,5
14793110475,5
14793110476,6
14793110477,5
14793110478,5
14793110479,5
14793110480,5
14793110481,5
14793110482,5
14793110483,5
14793110484,5
14793110485,6
14793110486,5
14793110487,5
14793110488,6
14793110489,5
14793110490,4
14793110491,4
14793110492,7
14793110493,6
14793110494,5
14793110495,7
14793110496,3
14793110497,6
14793110498,4
14793110499,6
14793110500,4
14793110501,6
14793110502,7
14793110503,4
14793110504,6
14793110505,7
14793110506,6
14793110507,7
14793110508,4
14793110509,6
14793110510,6
14793110511,7
14793110512,6
14793110513,7
14793110514,5
14793110515,8
14793110516,7
14793110517,7
14793110518,6
14793110519,5
14793110520,7
14793110521,7
14793110522,5
14793110523,9
14793110524,5
14793110525,7
14793110526,6
14793110527,7
14793110528,6
14793110529,6
14793110530,5
14793110531,6
14793110532,8
14793110533,7
14793110534,7
14793110535,6
14793110536,7
14793110537,7
14793110538,7
14793110539,7
14793110540,6
14793110541,8
14793110542,6
14793110543,6
14793110544,7
14793110545,7
14793110546,6
14793110547,8
14793110548,7
14793110549,7
14793110550,8
14793110551,7
14793110552,8
14793110553,8
14793110554,6
14793110555,8
14793110556,8
14793110557,9
14793110558,7
14793110559,4
14793110560,10
14793110561,8
14793110562,8
14793110563,6
14793110564,7
14793110565,8
14793110566,6
14793110567,8
14793110568,7
14793110569,7
14793110570,8
14793110571,8
14793110572,8
14793110573,9
14793110574,8
14793110575,7
14793110576,7
14793110577,9
14793110578,8
14793110579,7
14793110580,7
14793110581,6
14793110582,9
14793110583,10
14793110584,8
14793110585,9
14793110586,10
14793110587,9
14793110588,11
14793110589,9
14793110590,9
14793110591,9
14793110592,8
14793110593,10
14793110594,9
14793110595,9
14793110596,10
14793110597,8
14793110598,9
14793110599,8
14793110600,9
14793110601,9
14793110602,8
14793110603,8
14793110604,10
14793110605,9
14793110606,9
14793110607,10
14793110608,10
14793110609,10
14793110610,9
14793110611,13
14793110612,7
14793110613,7
14793110614,7
14793110615,10
14793110616,6
14793110617,9
14793110618,8
14793110619,11
14793110620,6
14793110621,7
14793110622,9
14793110623,11
14793110624,6
14793110625,10
14793110626,7
14793110627,10
14793110628,6
14793110629,9
14793110630,6
14793110631,8
14793110632,9
14793110633,8
14793110634,8
14793110635,11
14793110636,10
14793110637,11
14793110638,11
14793110639,11
14793110640,10
14793110641,11
14793110642,10
14793110643,12
14793110644,10
14793110645,13
14793110646,11
14793110647,10
14793110648,10
14793110649,11
14793110650,11
14793110651,12
14793110652,12
14793110653,11
14793110654,13
14793110655,11
14793110656,12
14793110657,11
14793110658,12
14793110659,12
14793110660,11
14793110661,12
14793110662,11
14793110663,10
14793110664,11
14793110665,11
14793110666,10
14793110667,10
14793110668,12
14793110669,12
14793110670,12
14793110671,12
14793110672,12
14793110673,12
14793110674,11
14793110675,12
14793110676,9
14793110677,13
14793110678,9
14793110679,12
14793110680,9
14793110681,9
14793110682,12
14793110683,10
14793110684,11
14793110685,12
14793110686,10
14793110687,14
14793110688,10
14793110689,12
14793110690,12
14793110691,11
14793110692,13
14793110693,11
14793110694,9
14793110695,10
14793110696,10
14793110697,9
14793110698,10
14793110699,9
14793110700,7
14793110701,9
14793110702,8
14793110703,10
14793110704,10
14793110705,12
14793110706,9
14793110707,10
14793110708,10
14793110709,12
14793110710,11
14793110711,12
14793110712,10
14793110713,11
14793110714,12
14793110715,13
14793110716,10
14793110717,12
14793110718,11
14793110719,12
14793110720,11
14793110721,11
14793110722,12
14793110723,12
14793110724,10
14793110725,10
14793110726,12
14793110727,10
14793110728,11
14793110729,11
14793110730,12
14793110731,12
14793110732,11
14793110733,13
14793110734,11
14793110735,12
14793110736,11
14793110737,13
14793110738,13
14793110739,11
14793110740,12
14793110741,13
14793110742,12
14793110743,11
14793110744,12
14793110745,13
14793110746,14
14793110747,13
14793110748,11
14793110749,12
14793110750,13
14793110751,12
14793110752,11
14793110753,11
14793110754,12
14793110755,10
14793110756,11
14793110757,11
14793110758,10
14793110759,15
14793110760,12
14793110761,14
14793110762,15
14793110763,13
14793110764,15
14793110765,13
14793110766,10
14793110767,13
14793110768,12
14793110769,12
14793110770,13
14793110771,13
14793110772,11
14793110773,11
14793110774,13
14793110775,11
14793110776,13
14793110777,12
14793110778,13
14793110779,11
14793110780,13
14793110781,13
14793110782,13
14793110783,13
14793110784,9
14793110785,12
14793110786,13
14793110787,12
14793110788,13
14793110789,12
14793110790,14
14793110791,15
14793110792,14
14793110793,14
14793110794,13
14793110795,12
14793110796,12
14793110797,11
14793110798,12
14793110799,14
14793110800,13
14793110801,13
14793110802,12
14793110803,13
14793110804,14
14793110805,14
14793110806,14
14793110807,13
14793110808,14
14793110809,12
14793110810,10
14793110811,14
14793110812,13
14793110813,13
14793110814,13
14793110815,11
14793110816,10
14793110817,16
14793110818,7
14793110819,18
14793110820,7
14793110821,19
14793110822,8
14793110823,14
14793110824,10
14793110825,14
14793110826,10
14793110827,16
14793110828,15
14793110829,12
14793110830,13
14793110831,13
14793110832,15
14793110833,14
14793110834,11
14793110835,11
14793110836,12
14793110837,13
14793110838,13
14793110839,15
14793110840,14
14793110841,13
14793110842,13
14793110843,14
14793110844,12
14793110845,14
14793110846,13
14793110847,13
14793110848,12
14793110849,14
14793110850,12
14793110851,11
14793110852,11
14793110853,13
14793110854,10
14793110855,15
14793110856,13
14793110857,14
14793110858,14
14793110859,13
14793110860,14
14793110861,13
14793110862,14
14793110863,13
14793110864,14
14793110865,14
14793110866,14
14793110867,13
14793110868,15
14793110869,13
14793110870,13
14793110871,14
14793110872,13
14793110873,9
14793110874,18
14793110875,14
14793110876,14
14793110877,14
14793110878,14
14793110879,14
14793110880,14
14793110881,13
14793110882,15
14793110883,14
14793110884,11
14793110885,12
14793110886,14
14793110887,15
14793110888,12
14793110889,12
14793110890,8
14793110891,11
14793110892,18
14793110893,12
14793110894,9
14793110895,18
14793110896,11
14793110897,13
14793110898,12
14793110899,10
14793110900,13
14793110901,15
14793110902,12
14793110903,15
14793110904,16
14793110905,13
14793110906,12
14793110907,13
14793110908,12
14793110909,14
14793110910,12
14793110911,12
14793110912,14
14793110913,14
14793110914,14
14793110915,13
14793110916,14
14793110917,13
14793110918,13
14793110919,13
14793110920,13
14793110921,13
14793110922,12
14793110923,10
14793110924,10
14793110925,16
14793110926,13
14793110927,12
14793110928,12
14793110929,13
14793110930,10
14793110931,13
14793110932,13
14793110933,15
14793110934,14
14793110935,14
14793110936,14
14793110937,14
14793110938,14
14793110939,12
14793110940,15
14793110941,13
14793110942,15
14793110943,12
14793110944,13
14793110945,12
14793110946,10
14793110947,11
14793110948,13
14793110949,10
14793110950,10
14793110951,8
14793110952,10
14793110953,13
14793110954,10
14793110955,11
14793110956,9
14793110957,11
14793110958,12
14793110959,12
14793110960,10
14793110961,13
14793110962,11
14793110963,9
14793110964,12
14793110965,11
14793110966,13
14793110967,11
14793110968,12
14793110969,12
14793110970,8
14793110971,14
14793110972,9
14793110973,12
14793110974,11
14793110975,12
14793110976,10
14793110977,12
14793110978,13
14793110979,10
14793110980,11
14793110981,12
14793110982,10
14793110983,11
14793110984,11
14793110985,10
14793110986,10
14793110987,12
14793110988,9
14793110989,12
14793110990,11
14793110991,12
14793110992,12
14793110993,10
14793110994,10
14793110995,9
14793110996,12
14793110997,10
14793110998,10
14793110999,11
14793111000,11
14793111001,11
14793111002,12
14793111003,12
14793111004,12
14793111005,12
14793111006,12
14793111007,12
14793111008,11
14793111009,11
14793111010,13
14793111011,10
14793111012,11
14793111013,12
14793111014,12
14793111015,11
14793111016,14
14793111017,9
14793111018,14
14793111019,12
14793111020,12
14793111021,11
14793111022,11
14793111023,13
14793111024,11
14793111025,11
14793111026,12
14793111027,10
14793111028,9
14793111029,17
14793111030,11
14793111031,9
14793111032,12
14793111033,11
14793111034,6
14793111035,10
14793111036,12
14793111037,12
14793111038,9
14793111039,12
14793111040,8
14793111041,11
14793111042,11
14793111043,11
14793111044,11
14793111045,10
14793111046,11
